s	r	d	f	mean	sd
0.01	0.0001	1	0.1	0.8	0.4
0.01	0.0001	1	0.15	1	0
0.01	0.0001	1	0.2	1	0
0.01	0.0001	1	0.25	1	0
0.01	0.0001	1	0.3	0.6	0.489897948556636
0.01	0.0001	1	0.35	1	0
0.01	0.0001	1	0.4	1	0
0.01	0.0001	1	0.45	0.8	0.4
0.01	0.0001	1	0.5	1	0
0.01	0.0001	1	0.55	0.8	0.4
0.01	0.0001	1	0.6	1	0
0.01	0.0001	1	0.65	1	0
0.01	0.0001	1	0.7	1	0
0.01	0.0001	1	0.75	1	0
0.01	0.0001	1	0.8	1	0
0.01	0.0001	1	0.85	1	0
0.01	0.0001	1	0.9	1	0
0.01	0.0001	1	0.95	1	0
0.01	0.0001	1	1	1	0
0.01	0.0001	1	1.05	1	0
0.01	0.0001	1	1.1	1	0
0.01	0.0001	1	1.15	1	0
0.01	0.0001	1	1.2	1	0
0.01	0.0001	1	1.25	1	0
0.01	0.0001	1	1.3	1	0
0.01	0.0001	1	1.35	1	0
0.01	0.0001	1	1.4	1	0
0.01	0.0001	1	1.45	1	0
0.01	0.0001	1	1.5	1	0
0.01	0.0001	2	0.1	1	0
0.01	0.0001	2	0.15	0.6	0.489897948556636
0.01	0.0001	2	0.2	0.8	0.4
0.01	0.0001	2	0.25	0.8	0.4
0.01	0.0001	2	0.3	0.8	0.4
0.01	0.0001	2	0.35	1	0
0.01	0.0001	2	0.4	1	0
0.01	0.0001	2	0.45	1	0
0.01	0.0001	2	0.5	1	0
0.01	0.0001	2	0.55	1	0
0.01	0.0001	2	0.6	1	0
0.01	0.0001	2	0.65	1	0
0.01	0.0001	2	0.7	1	0
0.01	0.0001	2	0.75	1	0
0.01	0.0001	2	0.8	1	0
0.01	0.0001	2	0.85	1	0
0.01	0.0001	2	0.9	1	0
0.01	0.0001	2	0.95	1	0
0.01	0.0001	2	1	1	0
0.01	0.0001	2	1.05	0.4	0.489897948556636
0.01	0.0001	2	1.1	0	0
0.01	0.0001	2	1.15	0	0
0.01	0.0001	2	1.2	0	0
0.01	0.0001	2	1.25	0	0
0.01	0.0001	2	1.3	0	0
0.01	0.0001	2	1.35	0	0
0.01	0.0001	2	1.4	0	0
0.01	0.0001	2	1.45	0	0
0.01	0.0001	2	1.5	0	0
0.01	0.0001	3	0.1	0.8	0.4
0.01	0.0001	3	0.15	0.8	0.4
0.01	0.0001	3	0.2	1	0
0.01	0.0001	3	0.25	0.8	0.4
0.01	0.0001	3	0.3	1	0
0.01	0.0001	3	0.35	1	0
0.01	0.0001	3	0.4	1	0
0.01	0.0001	3	0.45	1	0
0.01	0.0001	3	0.5	1	0
0.01	0.0001	3	0.55	1	0
0.01	0.0001	3	0.6	1	0
0.01	0.0001	3	0.65	1	0
0.01	0.0001	3	0.7	0.2	0.4
0.01	0.0001	3	0.75	0	0
0.01	0.0001	3	0.8	0	0
0.01	0.0001	3	0.85	0	0
0.01	0.0001	3	0.9	0	0
0.01	0.0001	3	0.95	0	0
0.01	0.0001	3	1	0	0
0.01	0.0001	3	1.05	0	0
0.01	0.0001	3	1.1	0	0
0.01	0.0001	3	1.15	0	0
0.01	0.0001	3	1.2	0	0
0.01	0.0001	3	1.25	0	0
0.01	0.0001	3	1.3	0.2	0.4
0.01	0.0001	3	1.35	0	0
0.01	0.0001	3	1.4	0	0
0.01	0.0001	3	1.45	0	0
0.01	0.0001	3	1.5	0	0
0.01	0.0001	4	0.1	1	0
0.01	0.0001	4	0.15	1	0
0.01	0.0001	4	0.2	1	0
0.01	0.0001	4	0.25	1	0
0.01	0.0001	4	0.3	1	0
0.01	0.0001	4	0.35	1	0
0.01	0.0001	4	0.4	1	0
0.01	0.0001	4	0.45	1	0
0.01	0.0001	4	0.5	1	0
0.01	0.0001	4	0.55	0	0
0.01	0.0001	4	0.6	0.2	0.4
0.01	0.0001	4	0.65	0	0
0.01	0.0001	4	0.7	0	0
0.01	0.0001	4	0.75	0	0
0.01	0.0001	4	0.8	0	0
0.01	0.0001	4	0.85	0	0
0.01	0.0001	4	0.9	0	0
0.01	0.0001	4	0.95	0	0
0.01	0.0001	4	1	0	0
0.01	0.0001	4	1.05	0.2	0.4
0.01	0.0001	4	1.1	0.2	0.4
0.01	0.0001	4	1.15	0	0
0.01	0.0001	4	1.2	0	0
0.01	0.0001	4	1.25	0.2	0.4
0.01	0.0001	4	1.3	0	0
0.01	0.0001	4	1.35	0.2	0.4
0.01	0.0001	4	1.4	0.2	0.4
0.01	0.0001	4	1.45	0	0
0.01	0.0001	4	1.5	0	0
0.01	0.0001	5	0.1	0.8	0.4
0.01	0.0001	5	0.15	0.8	0.4
0.01	0.0001	5	0.2	1	0
0.01	0.0001	5	0.25	1	0
0.01	0.0001	5	0.3	1	0
0.01	0.0001	5	0.35	1	0
0.01	0.0001	5	0.4	1	0
0.01	0.0001	5	0.45	0.2	0.4
0.01	0.0001	5	0.5	0	0
0.01	0.0001	5	0.55	0	0
0.01	0.0001	5	0.6	0	0
0.01	0.0001	5	0.65	0	0
0.01	0.0001	5	0.7	0.4	0.489897948556636
0.01	0.0001	5	0.75	0	0
0.01	0.0001	5	0.8	0.4	0.489897948556636
0.01	0.0001	5	0.85	0.4	0.489897948556636
0.01	0.0001	5	0.9	0.4	0.489897948556636
0.01	0.0001	5	0.95	0	0
0.01	0.0001	5	1	0	0
0.01	0.0001	5	1.05	0.2	0.4
0.01	0.0001	5	1.1	0.25	0.433012701892219
0.01	0.0001	5	1.15	1	0
0.01	0.0001	5	1.2	0.2	0.4
0.01	0.0001	5	1.25	0.2	0.4
0.01	0.0001	5	1.3	0	0
0.01	0.0001	5	1.35	0	0
0.01	0.0001	5	1.4	0	0
0.01	0.0001	5	1.45	0	0
0.01	0.0001	5	1.5	0.2	0.4
0.01	0.0001	6	0.1	0.8	0.4
0.01	0.0001	6	0.15	1	0
0.01	0.0001	6	0.2	1	0
0.01	0.0001	6	0.25	1	0
0.01	0.0001	6	0.3	1	0
0.01	0.0001	6	0.35	0	0
0.01	0.0001	6	0.4	0	0
0.01	0.0001	6	0.45	0	0
0.01	0.0001	6	0.5	0	0
0.01	0.0001	6	0.55	0.2	0.4
0.01	0.0001	6	0.6	0.8	0.4
0.01	0.0001	6	0.65	0.2	0.4
0.01	0.0001	6	0.7	0.4	0.489897948556636
0.01	0.0001	6	0.75	0.2	0.4
0.01	0.0001	6	0.8	0	0
0.01	0.0001	6	0.85	0.8	0.4
0.01	0.0001	6	0.9	0.2	0.4
0.01	0.0001	6	0.95	0.2	0.4
0.01	0.0001	6	1	0.2	0.4
0.01	0.0001	6	1.05	0	0
0.01	0.0001	6	1.1	0.4	0.489897948556636
0.01	0.0001	6	1.15	0.4	0.489897948556636
0.01	0.0001	6	1.2	0.6	0.489897948556636
0.01	0.0001	6	1.25	0	0
0.01	0.0001	6	1.3	0	0
0.01	0.0001	6	1.35	0	0
0.01	0.0001	6	1.4	0	0
0.01	0.0001	6	1.45	0	0
0.01	0.0001	6	1.5	0	0
0.01	0.0001	7	0.1	0.8	0.4
0.01	0.0001	7	0.15	1	0
0.01	0.0001	7	0.2	1	0
0.01	0.0001	7	0.25	1	0
0.01	0.0001	7	0.3	0.4	0.489897948556636
0.01	0.0001	7	0.35	0	0
0.01	0.0001	7	0.4	0.4	0.489897948556636
0.01	0.0001	7	0.45	0.8	0.4
0.01	0.0001	7	0.5	0.2	0.4
0.01	0.0001	7	0.55	0.4	0.489897948556636
0.01	0.0001	7	0.6	0.4	0.489897948556636
0.01	0.0001	7	0.65	0.8	0.4
0.01	0.0001	7	0.7	1	0
0.01	0.0001	7	0.75	0.4	0.489897948556636
0.01	0.0001	7	0.8	0.2	0.4
0.01	0.0001	7	0.85	0.2	0.4
0.01	0.0001	7	0.9	0.6	0.489897948556636
0.01	0.0001	7	0.95	0.2	0.4
0.01	0.0001	7	1	0	0
0.01	0.0001	7	1.05	0	0
0.01	0.0001	7	1.1	0.2	0.4
0.01	0.0001	7	1.15	0.6	0.489897948556636
0.01	0.0001	7	1.2	0.6	0.489897948556636
0.01	0.0001	7	1.25	0	0
0.01	0.0001	7	1.3	0	0
0.01	0.0001	7	1.35	0	0
0.01	0.0001	7	1.4	0	0
0.01	0.0001	7	1.45	0	0
0.01	0.0001	7	1.5	0	0
0.01	0.0001	8	0.1	0.8	0.4
0.01	0.0001	8	0.15	1	0
0.01	0.0001	8	0.2	1	0
0.01	0.0001	8	0.25	1	0
0.01	0.0001	8	0.3	0	0
0.01	0.0001	8	0.35	0.6	0.489897948556636
0.01	0.0001	8	0.4	0.2	0.4
0.01	0.0001	8	0.45	0.8	0.4
0.01	0.0001	8	0.5	0.8	0.4
0.01	0.0001	8	0.55	0.8	0.4
0.01	0.0001	8	0.6	0.4	0.489897948556636
0.01	0.0001	8	0.65	0.4	0.489897948556636
0.01	0.0001	8	0.7	0.8	0.4
0.01	0.0001	8	0.75	0.4	0.489897948556636
0.01	0.0001	8	0.8	0	0
0.01	0.0001	8	0.85	0.6	0.489897948556636
0.01	0.0001	8	0.9	0.4	0.489897948556636
0.01	0.0001	8	0.95	0	0
0.01	0.0001	8	1	0.2	0.4
0.01	0.0001	8	1.05	0.4	0.489897948556636
0.01	0.0001	8	1.1	0.8	0.4
0.01	0.0001	8	1.15	0.2	0.4
0.01	0.0001	8	1.2	1	0
0.01	0.0001	8	1.25	0.4	0.489897948556636
0.01	0.0001	8	1.3	0	0
0.01	0.0001	8	1.35	0	0
0.01	0.0001	8	1.4	0	0
0.01	0.0001	8	1.45	0	0
0.01	0.0001	8	1.5	0.2	0.4
0.01	0.0001	9	0.1	1	0
0.01	0.0001	9	0.15	1	0
0.01	0.0001	9	0.2	1	0
0.01	0.0001	9	0.25	0	0
0.01	0.0001	9	0.3	0.4	0.489897948556636
0.01	0.0001	9	0.35	0.8	0.4
0.01	0.0001	9	0.4	0.8	0.4
0.01	0.0001	9	0.45	0.6	0.489897948556636
0.01	0.0001	9	0.5	0.6	0.489897948556636
0.01	0.0001	9	0.55	0.6	0.489897948556636
0.01	0.0001	9	0.6	0.8	0.4
0.01	0.0001	9	0.65	0.2	0.4
0.01	0.0001	9	0.7	0.2	0.4
0.01	0.0001	9	0.75	0.2	0.4
0.01	0.0001	9	0.8	0.4	0.489897948556636
0.01	0.0001	9	0.85	1	0
0.01	0.0001	9	0.9	0.8	0.4
0.01	0.0001	9	0.95	0.4	0.489897948556636
0.01	0.0001	9	1	0.25	0.433012701892219
0.01	0.0001	9	1.05	0	0
0.01	0.0001	9	1.1	0.2	0.4
0.01	0.0001	9	1.15	0.6	0.489897948556636
0.01	0.0001	9	1.2	0.8	0.4
0.01	0.0001	9	1.25	0.6	0.489897948556636
0.01	0.0001	9	1.3	0	0
0.01	0.0001	9	1.35	0	0
0.01	0.0001	9	1.4	0	0
0.01	0.0001	9	1.45	0	0
0.01	0.0001	9	1.5	0	0
0.01	0.0001	10	0.1	1	0
0.01	0.0001	10	0.15	1	0
0.01	0.0001	10	0.2	1	0
0.01	0.0001	10	0.25	0.2	0.4
0.01	0.0001	10	0.3	0.6	0.489897948556636
0.01	0.0001	10	0.35	1	0
0.01	0.0001	10	0.4	0.8	0.4
0.01	0.0001	10	0.45	1	0
0.01	0.0001	10	0.5	0.6	0.489897948556636
0.01	0.0001	10	0.55	0.6	0.489897948556636
0.01	0.0001	10	0.6	1	0
0.01	0.0001	10	0.65	0.4	0.489897948556636
0.01	0.0001	10	0.7	0.4	0.489897948556636
0.01	0.0001	10	0.75	0.4	0.489897948556636
0.01	0.0001	10	0.8	0	0
0.01	0.0001	10	0.85	0.4	0.489897948556636
0.01	0.0001	10	0.9	0.4	0.489897948556636
0.01	0.0001	10	0.95	0.4	0.489897948556636
0.01	0.0001	10	1	0.2	0.4
0.01	0.0001	10	1.05	0	0
0.01	0.0001	10	1.1	0.4	0.489897948556636
0.01	0.0001	10	1.15	0.6	0.489897948556636
0.01	0.0001	10	1.2	1	0
0.01	0.0001	10	1.25	0.4	0.489897948556636
0.01	0.0001	10	1.3	0	0
0.01	0.0001	10	1.35	0	0
0.01	0.0001	10	1.4	0	0
0.01	0.0001	10	1.45	0	0
0.01	0.0001	10	1.5	0	0
0.01	0.001	1	0.1	1	0
0.01	0.001	1	0.15	1	0
0.01	0.001	1	0.2	1	0
0.01	0.001	1	0.25	1	0
0.01	0.001	1	0.3	1	0
0.01	0.001	1	0.35	1	0
0.01	0.001	1	0.4	1	0
0.01	0.001	1	0.45	0.75	0.433012701892219
0.01	0.001	1	0.5	na	na
0.01	0.001	1	0.55	na	na
0.01	0.001	1	0.6	na	na
0.01	0.001	1	0.65	0.6	0.489897948556636
0.01	0.001	1	0.7	0.6	0.489897948556636
0.01	0.001	1	0.75	0.4	0.489897948556636
0.01	0.001	1	0.8	0.2	0.4
0.01	0.001	1	0.85	0.4	0.489897948556636
0.01	0.001	1	0.9	0.2	0.4
0.01	0.001	1	0.95	0.8	0.4
0.01	0.001	1	1	0.8	0.4
0.01	0.001	1	1.05	0.6	0.489897948556636
0.01	0.001	1	1.1	0.8	0.4
0.01	0.001	1	1.15	0.2	0.4
0.01	0.001	1	1.2	0.2	0.4
0.01	0.001	1	1.25	0.6	0.489897948556636
0.01	0.001	1	1.3	0.6	0.489897948556636
0.01	0.001	1	1.35	0.6	0.489897948556636
0.01	0.001	1	1.4	0.6	0.489897948556636
0.01	0.001	1	1.45	0.8	0.4
0.01	0.001	1	1.5	0.8	0.4
0.01	0.001	2	0.1	1	0
0.01	0.001	2	0.15	1	0
0.01	0.001	2	0.2	1	0
0.01	0.001	2	0.25	1	0
0.01	0.001	2	0.3	0.8	0.4
0.01	0.001	2	0.35	0.6	0.489897948556636
0.01	0.001	2	0.4	0.6	0.489897948556636
0.01	0.001	2	0.45	0.8	0.4
0.01	0.001	2	0.5	0.6	0.489897948556636
0.01	0.001	2	0.55	0.6	0.489897948556636
0.01	0.001	2	0.6	0.4	0.489897948556636
0.01	0.001	2	0.65	1	0
0.01	0.001	2	0.7	1	0
0.01	0.001	2	0.75	0.6	0.489897948556636
0.01	0.001	2	0.8	0.6	0.489897948556636
0.01	0.001	2	0.85	0.6	0.489897948556636
0.01	0.001	2	0.9	1	0
0.01	0.001	2	0.95	1	0
0.01	0.001	2	1	1	0
0.01	0.001	2	1.05	1	0
0.01	0.001	2	1.1	1	0
0.01	0.001	2	1.15	1	0
0.01	0.001	2	1.2	1	0
0.01	0.001	2	1.25	1	0
0.01	0.001	2	1.3	1	0
0.01	0.001	2	1.35	1	0
0.01	0.001	2	1.4	0.8	0.4
0.01	0.001	2	1.45	0.8	0.4
0.01	0.001	2	1.5	1	0
0.01	0.001	3	0.1	1	0
0.01	0.001	3	0.15	1	0
0.01	0.001	3	0.2	0.5	0.5
0.01	0.001	3	0.25	1	0
0.01	0.001	3	0.3	0.6	0.489897948556636
0.01	0.001	3	0.35	0.8	0.4
0.01	0.001	3	0.4	0.8	0.4
0.01	0.001	3	0.45	0.6	0.489897948556636
0.01	0.001	3	0.5	1	0
0.01	0.001	3	0.55	1	0
0.01	0.001	3	0.6	1	0
0.01	0.001	3	0.65	1	0
0.01	0.001	3	0.7	1	0
0.01	0.001	3	0.75	1	0
0.01	0.001	3	0.8	1	0
0.01	0.001	3	0.85	1	0
0.01	0.001	3	0.9	0.2	0.4
0.01	0.001	3	0.95	1	0
0.01	0.001	3	1	1	0
0.01	0.001	3	1.05	0.6	0.489897948556636
0.01	0.001	3	1.1	0.8	0.4
0.01	0.001	3	1.15	0.6	0.489897948556636
0.01	0.001	3	1.2	0.8	0.4
0.01	0.001	3	1.25	0.2	0.4
0.01	0.001	3	1.3	0.6	0.489897948556636
0.01	0.001	3	1.35	0.6	0.489897948556636
0.01	0.001	3	1.4	0.8	0.4
0.01	0.001	3	1.45	0.4	0.489897948556636
0.01	0.001	3	1.5	0.2	0.4
0.01	0.001	4	0.1	1	0
0.01	0.001	4	0.15	1	0
0.01	0.001	4	0.2	0.8	0.4
0.01	0.001	4	0.25	1	0
0.01	0.001	4	0.3	1	0
0.01	0.001	4	0.35	0.8	0.4
0.01	0.001	4	0.4	0.8	0.4
0.01	0.001	4	0.45	1	0
0.01	0.001	4	0.5	1	0
0.01	0.001	4	0.55	1	0
0.01	0.001	4	0.6	1	0
0.01	0.001	4	0.65	1	0
0.01	0.001	4	0.7	1	0
0.01	0.001	4	0.75	0.8	0.4
0.01	0.001	4	0.8	0.8	0.4
0.01	0.001	4	0.85	1	0
0.01	0.001	4	0.9	0.8	0.4
0.01	0.001	4	0.95	0.6	0.489897948556636
0.01	0.001	4	1	0.4	0.489897948556636
0.01	0.001	4	1.05	0.8	0.4
0.01	0.001	4	1.1	0.6	0.489897948556636
0.01	0.001	4	1.15	0.6	0.489897948556636
0.01	0.001	4	1.2	1	0
0.01	0.001	4	1.25	0.8	0.4
0.01	0.001	4	1.3	0.6	0.489897948556636
0.01	0.001	4	1.35	0.8	0.4
0.01	0.001	4	1.4	0.8	0.4
0.01	0.001	4	1.45	0.6	0.489897948556636
0.01	0.001	4	1.5	0.6	0.489897948556636
0.01	0.001	5	0.1	1	0
0.01	0.001	5	0.15	0.6	0.489897948556636
0.01	0.001	5	0.2	1	0
0.01	0.001	5	0.25	1	0
0.01	0.001	5	0.3	0.8	0.4
0.01	0.001	5	0.35	1	0
0.01	0.001	5	0.4	1	0
0.01	0.001	5	0.45	1	0
0.01	0.001	5	0.5	1	0
0.01	0.001	5	0.55	0.8	0.4
0.01	0.001	5	0.6	0.8	0.4
0.01	0.001	5	0.65	1	0
0.01	0.001	5	0.7	0.8	0.4
0.01	0.001	5	0.75	0.8	0.4
0.01	0.001	5	0.8	0.6	0.489897948556636
0.01	0.001	5	0.85	0.8	0.4
0.01	0.001	5	0.9	1	0
0.01	0.001	5	0.95	1	0
0.01	0.001	5	1	0.8	0.4
0.01	0.001	5	1.05	0.6	0.489897948556636
0.01	0.001	5	1.1	1	0
0.01	0.001	5	1.15	0.6	0.489897948556636
0.01	0.001	5	1.2	0.6	0.489897948556636
0.01	0.001	5	1.25	1	0
0.01	0.001	5	1.3	1	0
0.01	0.001	5	1.35	0.4	0.489897948556636
0.01	0.001	5	1.4	0.4	0.489897948556636
0.01	0.001	5	1.45	1	0
0.01	0.001	5	1.5	0.4	0.489897948556636
0.01	0.001	6	0.1	1	0
0.01	0.001	6	0.15	0.8	0.4
0.01	0.001	6	0.2	1	0
0.01	0.001	6	0.25	0.8	0.4
0.01	0.001	6	0.3	0.8	0.4
0.01	0.001	6	0.35	1	0
0.01	0.001	6	0.4	0.8	0.4
0.01	0.001	6	0.45	1	0
0.01	0.001	6	0.5	0.6	0.489897948556636
0.01	0.001	6	0.55	0.6	0.489897948556636
0.01	0.001	6	0.6	0.8	0.4
0.01	0.001	6	0.65	0.8	0.4
0.01	0.001	6	0.7	1	0
0.01	0.001	6	0.75	1	0
0.01	0.001	6	0.8	0.4	0.489897948556636
0.01	0.001	6	0.85	0.6	0.489897948556636
0.01	0.001	6	0.9	0.8	0.4
0.01	0.001	6	0.95	0.6	0.489897948556636
0.01	0.001	6	1	0.8	0.4
0.01	0.001	6	1.05	0.6	0.489897948556636
0.01	0.001	6	1.1	1	0
0.01	0.001	6	1.15	0.6	0.489897948556636
0.01	0.001	6	1.2	0.6	0.489897948556636
0.01	0.001	6	1.25	1	0
0.01	0.001	6	1.3	0.4	0.489897948556636
0.01	0.001	6	1.35	0.4	0.489897948556636
0.01	0.001	6	1.4	0.8	0.4
0.01	0.001	6	1.45	0.4	0.489897948556636
0.01	0.001	6	1.5	0.8	0.4
0.01	0.001	7	0.1	1	0
0.01	0.001	7	0.15	1	0
0.01	0.001	7	0.2	1	0
0.01	0.001	7	0.25	1	0
0.01	0.001	7	0.3	0.8	0.4
0.01	0.001	7	0.35	1	0
0.01	0.001	7	0.4	0.8	0.4
0.01	0.001	7	0.45	0.8	0.4
0.01	0.001	7	0.5	1	0
0.01	0.001	7	0.55	1	0
0.01	0.001	7	0.6	1	0
0.01	0.001	7	0.65	0.4	0.489897948556636
0.01	0.001	7	0.7	0.6	0.489897948556636
0.01	0.001	7	0.75	1	0
0.01	0.001	7	0.8	1	0
0.01	0.001	7	0.85	0.8	0.4
0.01	0.001	7	0.9	1	0
0.01	0.001	7	0.95	1	0
0.01	0.001	7	1	0.6	0.489897948556636
0.01	0.001	7	1.05	0.6	0.489897948556636
0.01	0.001	7	1.1	0.4	0.489897948556636
0.01	0.001	7	1.15	0.4	0.489897948556636
0.01	0.001	7	1.2	1	0
0.01	0.001	7	1.25	1	0
0.01	0.001	7	1.3	1	0
0.01	0.001	7	1.35	0.6	0.489897948556636
0.01	0.001	7	1.4	0.4	0.489897948556636
0.01	0.001	7	1.45	0.4	0.489897948556636
0.01	0.001	7	1.5	0.6	0.489897948556636
0.01	0.001	8	0.1	0.6	0.489897948556636
0.01	0.001	8	0.15	1	0
0.01	0.001	8	0.2	0.8	0.4
0.01	0.001	8	0.25	1	0
0.01	0.001	8	0.3	1	0
0.01	0.001	8	0.35	0.6	0.489897948556636
0.01	0.001	8	0.4	1	0
0.01	0.001	8	0.45	1	0
0.01	0.001	8	0.5	1	0
0.01	0.001	8	0.55	0.75	0.433012701892219
0.01	0.001	8	0.6	0.8	0.4
0.01	0.001	8	0.65	0.8	0.4
0.01	0.001	8	0.7	1	0
0.01	0.001	8	0.75	0.8	0.4
0.01	0.001	8	0.8	0.8	0.4
0.01	0.001	8	0.85	1	0
0.01	0.001	8	0.9	1	0
0.01	0.001	8	0.95	0.75	0.433012701892219
0.01	0.001	8	1	0.8	0.4
0.01	0.001	8	1.05	0.4	0.489897948556636
0.01	0.001	8	1.1	0.8	0.4
0.01	0.001	8	1.15	0.4	0.489897948556636
0.01	0.001	8	1.2	1	0
0.01	0.001	8	1.25	1	0
0.01	0.001	8	1.3	0.6	0.489897948556636
0.01	0.001	8	1.35	0.8	0.4
0.01	0.001	8	1.4	0.6	0.489897948556636
0.01	0.001	8	1.45	0.6	0.489897948556636
0.01	0.001	8	1.5	0.6	0.489897948556636
0.01	0.001	9	0.1	1	0
0.01	0.001	9	0.15	0.8	0.4
0.01	0.001	9	0.2	1	0
0.01	0.001	9	0.25	1	0
0.01	0.001	9	0.3	1	0
0.01	0.001	9	0.35	1	0
0.01	0.001	9	0.4	0.8	0.4
0.01	0.001	9	0.45	0.8	0.4
0.01	0.001	9	0.5	0.4	0.489897948556636
0.01	0.001	9	0.55	0.8	0.4
0.01	0.001	9	0.6	1	0
0.01	0.001	9	0.65	0.8	0.4
0.01	0.001	9	0.7	1	0
0.01	0.001	9	0.75	1	0
0.01	0.001	9	0.8	0.6	0.489897948556636
0.01	0.001	9	0.85	0.4	0.489897948556636
0.01	0.001	9	0.9	0.8	0.4
0.01	0.001	9	0.95	1	0
0.01	0.001	9	1	1	0
0.01	0.001	9	1.05	0.8	0.4
0.01	0.001	9	1.1	0.6	0.489897948556636
0.01	0.001	9	1.15	0.8	0.4
0.01	0.001	9	1.2	1	0
0.01	0.001	9	1.25	1	0
0.01	0.001	9	1.3	0.8	0.4
0.01	0.001	9	1.35	0.6	0.489897948556636
0.01	0.001	9	1.4	0	0
0.01	0.001	9	1.45	0.8	0.4
0.01	0.001	9	1.5	0.8	0.4
0.01	0.001	10	0.1	1	0
0.01	0.001	10	0.15	1	0
0.01	0.001	10	0.2	1	0
0.01	0.001	10	0.25	1	0
0.01	0.001	10	0.3	1	0
0.01	0.001	10	0.35	1	0
0.01	0.001	10	0.4	1	0
0.01	0.001	10	0.45	0.6	0.489897948556636
0.01	0.001	10	0.5	0.6	0.489897948556636
0.01	0.001	10	0.55	0.8	0.4
0.01	0.001	10	0.6	0.8	0.4
0.01	0.001	10	0.65	0.8	0.4
0.01	0.001	10	0.7	0.6	0.489897948556636
0.01	0.001	10	0.75	1	0
0.01	0.001	10	0.8	0.6	0.489897948556636
0.01	0.001	10	0.85	0.2	0.4
0.01	0.001	10	0.9	0.8	0.4
0.01	0.001	10	0.95	1	0
0.01	0.001	10	1	0.4	0.489897948556636
0.01	0.001	10	1.05	0.8	0.4
0.01	0.001	10	1.1	1	0
0.01	0.001	10	1.15	1	0
0.01	0.001	10	1.2	1	0
0.01	0.001	10	1.25	0.8	0.4
0.01	0.001	10	1.3	1	0
0.01	0.001	10	1.35	0.8	0.4
0.01	0.001	10	1.4	0.8	0.4
0.01	0.001	10	1.45	0.8	0.4
0.01	0.001	10	1.5	0.6	0.489897948556636
0.01	0.01	1	0.1	0	0
0.01	0.01	1	0.15	0	0
0.01	0.01	1	0.2	0	0
0.01	0.01	1	0.25	0	0
0.01	0.01	1	0.3	0	0
0.01	0.01	1	0.35	na	na
0.01	0.01	1	0.4	na	na
0.01	0.01	1	0.45	na	na
0.01	0.01	1	0.5	na	na
0.01	0.01	1	0.55	na	na
0.01	0.01	1	0.6	na	na
0.01	0.01	1	0.65	na	na
0.01	0.01	1	0.7	na	na
0.01	0.01	1	0.75	na	na
0.01	0.01	1	0.8	na	na
0.01	0.01	1	0.85	na	na
0.01	0.01	1	0.9	na	na
0.01	0.01	1	0.95	na	na
0.01	0.01	1	1	na	na
0.01	0.01	1	1.05	na	na
0.01	0.01	1	1.1	na	na
0.01	0.01	1	1.15	na	na
0.01	0.01	1	1.2	na	na
0.01	0.01	1	1.25	na	na
0.01	0.01	1	1.3	na	na
0.01	0.01	1	1.35	na	na
0.01	0.01	1	1.4	na	na
0.01	0.01	1	1.45	na	na
0.01	0.01	1	1.5	na	na
0.01	0.01	2	0.1	0	0
0.01	0.01	2	0.15	0	0
0.01	0.01	2	0.2	na	na
0.01	0.01	2	0.25	na	na
0.01	0.01	2	0.3	na	na
0.01	0.01	2	0.35	na	na
0.01	0.01	2	0.4	na	na
0.01	0.01	2	0.45	na	na
0.01	0.01	2	0.5	na	na
0.01	0.01	2	0.55	na	na
0.01	0.01	2	0.6	na	na
0.01	0.01	2	0.65	na	na
0.01	0.01	2	0.7	na	na
0.01	0.01	2	0.75	na	na
0.01	0.01	2	0.8	na	na
0.01	0.01	2	0.85	na	na
0.01	0.01	2	0.9	na	na
0.01	0.01	2	0.95	na	na
0.01	0.01	2	1	na	na
0.01	0.01	2	1.05	1	0
0.01	0.01	2	1.1	1	0
0.01	0.01	2	1.15	1	0
0.01	0.01	2	1.2	1	0
0.01	0.01	2	1.25	1	0
0.01	0.01	2	1.3	1	0
0.01	0.01	2	1.35	1	0
0.01	0.01	2	1.4	1	0
0.01	0.01	2	1.45	1	0
0.01	0.01	2	1.5	1	0
0.01	0.01	3	0.1	na	na
0.01	0.01	3	0.15	na	na
0.01	0.01	3	0.2	na	na
0.01	0.01	3	0.25	na	na
0.01	0.01	3	0.3	na	na
0.01	0.01	3	0.35	na	na
0.01	0.01	3	0.4	na	na
0.01	0.01	3	0.45	na	na
0.01	0.01	3	0.5	na	na
0.01	0.01	3	0.55	na	na
0.01	0.01	3	0.6	na	na
0.01	0.01	3	0.65	na	na
0.01	0.01	3	0.7	1	0
0.01	0.01	3	0.75	1	0
0.01	0.01	3	0.8	0.6	0.489897948556636
0.01	0.01	3	0.85	1	0
0.01	0.01	3	0.9	1	0
0.01	0.01	3	0.95	1	0
0.01	0.01	3	1	1	0
0.01	0.01	3	1.05	1	0
0.01	0.01	3	1.1	1	0
0.01	0.01	3	1.15	1	0
0.01	0.01	3	1.2	1	0
0.01	0.01	3	1.25	1	0
0.01	0.01	3	1.3	1	0
0.01	0.01	3	1.35	1	0
0.01	0.01	3	1.4	1	0
0.01	0.01	3	1.45	1	0
0.01	0.01	3	1.5	1	0
0.01	0.01	4	0.1	na	na
0.01	0.01	4	0.15	na	na
0.01	0.01	4	0.2	na	na
0.01	0.01	4	0.25	na	na
0.01	0.01	4	0.3	na	na
